#,Source Name,URL,Data Available,Format,Notes / How to Access,
1,ACC Sport & Recreation Statistics (Official),https://www.acc.co.nz/newsroom/media-resources/sport-and-recreation-injury-statistics/,"Claims by sport 2016‚Äì2025, by region",Web tables (copy to Excel),we have already gone with this and it have charts but we want data in excel and pdf format,
2,ACC Regional Sport Claims Breakdown,https://www.acc.co.nz/newsroom/media-resources/regional-breakdown-of-sports-claims,Regional claims by sport 2024‚Äì2026 YTD,Web tables,we have already gone with this and it have charts but we want data in excel and pdf format,
3,data.govt.nz ‚Äî ACC Hard Ball Sports Injury Data 2022‚Äì2024,https://catalogue.data.govt.nz/organization/accident-compensation-corporation,Hard ball sport injury data via OIA release,CSV / Excel download,completed this also,
4,rugbyhistory.co.nz ‚Äî Full Historical Results 1957‚Äì2025,https://www.rugbyhistory.co.nz/historical-results,"All Black results, player stats 1957‚Äì2025 (PDFs)",PDF Download (tables),"PDFs downloadable: All Blacks World Cup Stats, Coach Records",248 pdf downloaded
5,stats.allblacks.com ‚Äî Official NZ Rugby Stats Portal,https://stats.allblacks.com/,"Player career stats, All Blacks & Black Ferns",Web (scrape / API research needed),First digital expression of NZR brand; includes women's parity data,no data found in this 
6,footystats.org ‚Äî Wellington Phoenix Season Stats,https://footystats.org/clubs/wellington-phoenix-fc-609,"xG, shots, corners, card data by match 2024‚Äì25",Web scrape,Opta-powered; 2025-26 data also available,not able tofind any kind of relevent data
7,Figure.NZ ‚Äî Sport Industry Financial Performance 2013‚Äì2024,https://figure.nz/chart/kIpNw1H5r3cVIesv-N1PaXO3K1mlk0s6W,"Revenue, income, expenditure by sport industry",CSV (via Stats NZ AES download),Uses Stats NZ Annual Enterprise Survey data,we have already downloaded this 
8,Wikipedia ‚Äî List of NZ Rugby Union Test Matches,https://en.wikipedia.org/wiki/List_of_New_Zealand_rugby_union_test_matches,Full decade-by-decade results + opponent breakdown,Manual copy from Wikipedia tables,"Reliable, well-sourced; updated to Nov 2025",we donít want manual copy past
9,Wikipedia ‚Äî NZ Black Caps Cricket Stats (Complete),https://en.wikipedia.org/wiki/New_Zealand_national_cricket_team,"Test 484 matches, ODI 853, T20I 267 (all records)",Manual copy / scrape,Updated to June 2026; includes format-by-format breakdown,we donít want manual copy past
10,School Sport NZ ‚Äî Annual Census Hub,https://www.schoolsportnz.org.nz/Education/school-sport-nz-census-reports,Census 2000‚Äì2024; student participation by sport and gender,PDF + Excel (per year),Download individual year reports from page,already downloaded this one also
11,Stats NZ ‚Äî Annual Enterprise Survey (AES) Sport Sector,https://www.stats.govt.nz/information-releases/annual-enterprise-survey-2024-financial-year-provisional/,"Industry financials: revenue, employment 2013‚Äì2024",CSV download,Filter for NZSIOC industry code for Sport & Recreation,downloaded 3 excels
12,ACC Injuries in NZ 2024 Report (PDF),https://www.acc.co.nz/assets/injury-prevention/Injuries-in-New-Zealand-2024.pdf,"Cross-sport injury overview, cost data, prevention programs",PDF,Direct PDF download; includes NetballSmart programme data,downloaded 1 pdf
13,2025 Rugby Championship Full Results,https://en.wikipedia.org/wiki/2025_Rugby_Championship,"All 12 matches, standings, scorers, attendance",Manual copy / scrape Wikipedia,SA champion; NZ 2nd; full table + fixture results,we donít want manual copy past
14,Wellington Phoenix Women 2025-26 Season,https://en.wikipedia.org/wiki/2025%E2%80%9326_Wellington_Phoenix_FC_(women)_season,"Full season results, attendance, top scorers",Manual copy / Wikipedia scrape,Best-ever season: A-League Women Runners-up,we donít want manual copy past
