Year,Training type,Field of study,Field of study Code,Value,Value Unit,Value Label,Null Reason
2017,Apprentices,Geomatic engineering,S0311,20,number,Number of people,
2018,Apprentices,Geomatic engineering,S0311,15,number,Number of people,
2019,Apprentices,Geomatic engineering,S0311,15,number,Number of people,
2020,Apprentices,Geomatic engineering,S0311,10,number,Number of people,
2021,Apprentices,Geomatic engineering,S0311,5,number,Number of people,
2022,Apprentices,Geomatic engineering,S0311,5,number,Number of people,
2023,Apprentices,Geomatic engineering,S0311,0,number,Number of people,
2024,Apprentices,Geomatic engineering,S0311,0,number,Number of people,
2015,Apprentices,Graphic and design studies,S1005,80,number,Number of people,
2016,Apprentices,Graphic and design studies,S1005,90,number,Number of people,
2017,Apprentices,Graphic and design studies,S1005,95,number,Number of people,
2018,Apprentices,Graphic and design studies,S1005,90,number,Number of people,
2019,Apprentices,Graphic and design studies,S1005,60,number,Number of people,
2020,Apprentices,Graphic and design studies,S1005,40,number,Number of people,
2021,Apprentices,Graphic and design studies,S1005,20,number,Number of people,
2022,Apprentices,Graphic and design studies,S1005,10,number,Number of people,
2023,Apprentices,Graphic and design studies,S1005,0,number,Number of people,
2024,Apprentices,Graphic and design studies,S1005,0,number,Number of people,
2015,Apprentices,Horticulture and viticulture,S0503,1800,number,Number of people,
2016,Apprentices,Horticulture and viticulture,S0503,2045,number,Number of people,
2017,Apprentices,Horticulture and viticulture,S0503,2180,number,Number of people,
2018,Apprentices,Horticulture and viticulture,S0503,2015,number,Number of people,
2019,Apprentices,Horticulture and viticulture,S0503,2195,number,Number of people,
2020,Apprentices,Horticulture and viticulture,S0503,2435,number,Number of people,
2021,Apprentices,Horticulture and viticulture,S0503,2770,number,Number of people,
2022,Apprentices,Horticulture and viticulture,S0503,2830,number,Number of people,
2023,Apprentices,Horticulture and viticulture,S0503,2460,number,Number of people,
2024,Apprentices,Horticulture and viticulture,S0503,2070,number,Number of people,
2015,Apprentices,Human welfare studies and services,S0905,215,number,Number of people,
2016,Apprentices,Human welfare studies and services,S0905,330,number,Number of people,
2017,Apprentices,Human welfare studies and services,S0905,1355,number,Number of people,
2018,Apprentices,Human welfare studies and services,S0905,2420,number,Number of people,
2019,Apprentices,Human welfare studies and services,S0905,2745,number,Number of people,
2020,Apprentices,Human welfare studies and services,S0905,3040,number,Number of people,
2021,Apprentices,Human welfare studies and services,S0905,4020,number,Number of people,
2022,Apprentices,Human welfare studies and services,S0905,5300,number,Number of people,
2023,Apprentices,Human welfare studies and services,S0905,4905,number,Number of people,
2024,Apprentices,Human welfare studies and services,S0905,5155,number,Number of people,
2015,Apprentices,Justice and law enforcement,S0911,180,number,Number of people,
2016,Apprentices,Justice and law enforcement,S0911,150,number,Number of people,
2017,Apprentices,Justice and law enforcement,S0911,185,number,Number of people,
2018,Apprentices,Justice and law enforcement,S0911,235,number,Number of people,
2019,Apprentices,Justice and law enforcement,S0911,205,number,Number of people,
2020,Apprentices,Justice and law enforcement,S0911,125,number,Number of people,
2021,Apprentices,Justice and law enforcement,S0911,85,number,Number of people,
2022,Apprentices,Justice and law enforcement,S0911,40,number,Number of people,
2023,Apprentices,Justice and law enforcement,S0911,130,number,Number of people,
2024,Apprentices,Justice and law enforcement,S0911,115,number,Number of people,
2015,Apprentices,"Manufacturing, engineering and technology",S0301,690,number,Number of people,
2016,Apprentices,"Manufacturing, engineering and technology",S0301,570,number,Number of people,
2017,Apprentices,"Manufacturing, engineering and technology",S0301,520,number,Number of people,
2018,Apprentices,"Manufacturing, engineering and technology",S0301,465,number,Number of people,
2019,Apprentices,"Manufacturing, engineering and technology",S0301,420,number,Number of people,
2020,Apprentices,"Manufacturing, engineering and technology",S0301,495,number,Number of people,
2021,Apprentices,"Manufacturing, engineering and technology",S0301,750,number,Number of people,
2022,Apprentices,"Manufacturing, engineering and technology",S0301,745,number,Number of people,
2023,Apprentices,"Manufacturing, engineering and technology",S0301,780,number,Number of people,
2024,Apprentices,"Manufacturing, engineering and technology",S0301,815,number,Number of people,
2015,Apprentices,Maritime engineering and technology,S0317,415,number,Number of people,
2016,Apprentices,Maritime engineering and technology,S0317,430,number,Number of people,
2017,Apprentices,Maritime engineering and technology,S0317,410,number,Number of people,
2018,Apprentices,Maritime engineering and technology,S0317,495,number,Number of people,
2019,Apprentices,Maritime engineering and technology,S0317,505,number,Number of people,
2020,Apprentices,Maritime engineering and technology,S0317,675,number,Number of people,
2021,Apprentices,Maritime engineering and technology,S0317,785,number,Number of people,
2022,Apprentices,Maritime engineering and technology,S0317,865,number,Number of people,
2023,Apprentices,Maritime engineering and technology,S0317,820,number,Number of people,
2024,Apprentices,Maritime engineering and technology,S0317,635,number,Number of people,
2015,Apprentices,Mechanical and industrial engineering and technology,S0307,3180,number,Number of people,
2016,Apprentices,Mechanical and industrial engineering and technology,S0307,3220,number,Number of people,
2017,Apprentices,Mechanical and industrial engineering and technology,S0307,3170,number,Number of people,
2018,Apprentices,Mechanical and industrial engineering and technology,S0307,3470,number,Number of people,
2019,Apprentices,Mechanical and industrial engineering and technology,S0307,3485,number,Number of people,
2020,Apprentices,Mechanical and industrial engineering and technology,S0307,3575,number,Number of people,
2021,Apprentices,Mechanical and industrial engineering and technology,S0307,3940,number,Number of people,
2022,Apprentices,Mechanical and industrial engineering and technology,S0307,4210,number,Number of people,
2023,Apprentices,Mechanical and industrial engineering and technology,S0307,3995,number,Number of people,
2024,Apprentices,Mechanical and industrial engineering and technology,S0307,3830,number,Number of people,
2015,Apprentices,Nursing,S0603,0,number,Number of people,
2016,Apprentices,Nursing,S0603,0,number,Number of people,
2017,Apprentices,Nursing,S0603,0,number,Number of people,
2018,Apprentices,Nursing,S0603,0,number,Number of people,
2019,Apprentices,Nursing,S0603,0,number,Number of people,
2020,Apprentices,Nursing,S0603,0,number,Number of people,
2021,Apprentices,Nursing,S0603,0,number,Number of people,
2022,Apprentices,Nursing,S0603,0,number,Number of people,
2023,Apprentices,Nursing,S0603,0,number,Number of people,
2024,Apprentices,Nursing,S0603,5,number,Number of people,
2015,Apprentices,Office administration,S0809,10,number,Number of people,
2016,Apprentices,Office administration,S0809,5,number,Number of people,
2017,Apprentices,Office administration,S0809,0,number,Number of people,
2018,Apprentices,Office administration,S0809,5,number,Number of people,
2019,Apprentices,Office administration,S0809,0,number,Number of people,
2020,Apprentices,Office administration,S0809,5,number,Number of people,
2021,Apprentices,Office administration,S0809,0,number,Number of people,
2022,Apprentices,Office administration,S0809,0,number,Number of people,
2023,Apprentices,Office administration,S0809,0,number,Number of people,
2024,Apprentices,Office administration,S0809,0,number,Number of people,
2015,Apprentices,"Other agriculture, environmental and related studies",S0599,90,number,Number of people,
2016,Apprentices,"Other agriculture, environmental and related studies",S0599,60,number,Number of people,
2017,Apprentices,"Other agriculture, environmental and related studies",S0599,35,number,Number of people,
2018,Apprentices,"Other agriculture, environmental and related studies",S0599,45,number,Number of people,
2019,Apprentices,"Other agriculture, environmental and related studies",S0599,90,number,Number of people,
2020,Apprentices,"Other agriculture, environmental and related studies",S0599,75,number,Number of people,
2021,Apprentices,"Other agriculture, environmental and related studies",S0599,90,number,Number of people,
2022,Apprentices,"Other agriculture, environmental and related studies",S0599,150,number,Number of people,
2023,Apprentices,"Other agriculture, environmental and related studies",S0599,50,number,Number of people,
2024,Apprentices,"Other agriculture, environmental and related studies",S0599,30,number,Number of people,
2015,Apprentices,Other engineering and related technologies,S0399,625,number,Number of people,
2016,Apprentices,Other engineering and related technologies,S0399,505,number,Number of people,
2017,Apprentices,Other engineering and related technologies,S0399,450,number,Number of people,
2018,Apprentices,Other engineering and related technologies,S0399,445,number,Number of people,
2019,Apprentices,Other engineering and related technologies,S0399,445,number,Number of people,
2020,Apprentices,Other engineering and related technologies,S0399,525,number,Number of people,
2021,Apprentices,Other engineering and related technologies,S0399,685,number,Number of people,
2022,Apprentices,Other engineering and related technologies,S0399,705,number,Number of people,
2023,Apprentices,Other engineering and related technologies,S0399,600,number,Number of people,
2024,Apprentices,Other engineering and related technologies,S0399,585,number,Number of people,
2015,Apprentices,Other health,S0699,765,number,Number of people,
2016,Apprentices,Other health,S0699,655,number,Number of people,
2017,Apprentices,Other health,S0699,585,number,Number of people,
2018,Apprentices,Other health,S0699,370,number,Number of people,
2019,Apprentices,Other health,S0699,310,number,Number of people,
2020,Apprentices,Other health,S0699,365,number,Number of people,
2021,Apprentices,Other health,S0699,440,number,Number of people,
2022,Apprentices,Other health,S0699,410,number,Number of people,
2023,Apprentices,Other health,S0699,330,number,Number of people,
2024,Apprentices,Other health,S0699,375,number,Number of people,
2015,Apprentices,Other society and culture,S0999,10,number,Number of people,
2016,Apprentices,Other society and culture,S0999,40,number,Number of people,
2017,Apprentices,Other society and culture,S0999,30,number,Number of people,
2018,Apprentices,Other society and culture,S0999,10,number,Number of people,
2019,Apprentices,Other society and culture,S0999,5,number,Number of people,
2020,Apprentices,Other society and culture,S0999,10,number,Number of people,
2021,Apprentices,Other society and culture,S0999,5,number,Number of people,
2022,Apprentices,Other society and culture,S0999,0,number,Number of people,
2023,Apprentices,Other society and culture,S0999,0,number,Number of people,
2024,Apprentices,Other society and culture,S0999,0,number,Number of people,
2015,Apprentices,Performing arts,S1001,0,number,Number of people,
2016,Apprentices,Performing arts,S1001,0,number,Number of people,
2017,Apprentices,Performing arts,S1001,0,number,Number of people,
2018,Apprentices,Performing arts,S1001,25,number,Number of people,
2019,Apprentices,Performing arts,S1001,30,number,Number of people,
2020,Apprentices,Performing arts,S1001,55,number,Number of people,
2021,Apprentices,Performing arts,S1001,85,number,Number of people,
2022,Apprentices,Performing arts,S1001,95,number,Number of people,
2023,Apprentices,Performing arts,S1001,70,number,Number of people,
2024,Apprentices,Performing arts,S1001,40,number,Number of people,
2015,Apprentices,Personal services,S1103,1425,number,Number of people,
2016,Apprentices,Personal services,S1103,1425,number,Number of people,
2017,Apprentices,Personal services,S1103,1420,number,Number of people,
2018,Apprentices,Personal services,S1103,1540,number,Number of people,
2019,Apprentices,Personal services,S1103,1515,number,Number of people,
2020,Apprentices,Personal services,S1103,1845,number,Number of people,
2021,Apprentices,Personal services,S1103,2170,number,Number of people,
2022,Apprentices,Personal services,S1103,2120,number,Number of people,
2023,Apprentices,Personal services,S1103,1800,number,Number of people,
2024,Apprentices,Personal services,S1103,1605,number,Number of people,
2015,Apprentices,Process and resources engineering,S0303,275,number,Number of people,
2016,Apprentices,Process and resources engineering,S0303,270,number,Number of people,
2017,Apprentices,Process and resources engineering,S0303,420,number,Number of people,
2018,Apprentices,Process and resources engineering,S0303,495,number,Number of people,
2019,Apprentices,Process and resources engineering,S0303,445,number,Number of people,
2020,Apprentices,Process and resources engineering,S0303,430,number,Number of people,
2021,Apprentices,Process and resources engineering,S0303,745,number,Number of people,
2022,Apprentices,Process and resources engineering,S0303,825,number,Number of people,
2023,Apprentices,Process and resources engineering,S0303,785,number,Number of people,
2024,Apprentices,Process and resources engineering,S0303,670,number,Number of people,
2015,Apprentices,Public health,S0613,20,number,Number of people,
2016,Apprentices,Public health,S0613,30,number,Number of people,
2017,Apprentices,Public health,S0613,15,number,Number of people,
2018,Apprentices,Public health,S0613,10,number,Number of people,
2019,Apprentices,Public health,S0613,10,number,Number of people,
2020,Apprentices,Public health,S0613,5,number,Number of people,
2021,Apprentices,Public health,S0613,5,number,Number of people,
2022,Apprentices,Public health,S0613,10,number,Number of people,
2023,Apprentices,Public health,S0613,5,number,Number of people,
2024,Apprentices,Public health,S0613,5,number,Number of people,
2015,Apprentices,Sales and marketing,S0805,170,number,Number of people,
2016,Apprentices,Sales and marketing,S0805,140,number,Number of people,
2017,Apprentices,Sales and marketing,S0805,105,number,Number of people,
2018,Apprentices,Sales and marketing,S0805,90,number,Number of people,
2019,Apprentices,Sales and marketing,S0805,130,number,Number of people,
2020,Apprentices,Sales and marketing,S0805,150,number,Number of people,
2021,Apprentices,Sales and marketing,S0805,1555,number,Number of people,
2022,Apprentices,Sales and marketing,S0805,1660,number,Number of people,
2023,Apprentices,Sales and marketing,S0805,1020,number,Number of people,
2024,Apprentices,Sales and marketing,S0805,550,number,Number of people,
2015,Apprentices,Sport and recreation,S0921,130,number,Number of people,
2016,Apprentices,Sport and recreation,S0921,150,number,Number of people,
2017,Apprentices,Sport and recreation,S0921,170,number,Number of people,
2018,Apprentices,Sport and recreation,S0921,185,number,Number of people,
2019,Apprentices,Sport and recreation,S0921,175,number,Number of people,
2020,Apprentices,Sport and recreation,S0921,625,number,Number of people,
2021,Apprentices,Sport and recreation,S0921,1315,number,Number of people,
2022,Apprentices,Sport and recreation,S0921,1255,number,Number of people,
2023,Apprentices,Sport and recreation,S0921,850,number,Number of people,
2024,Apprentices,Sport and recreation,S0921,450,number,Number of people,
2015,Apprentices,Studies in human society,S0903,0,number,Number of people,
2016,Apprentices,Studies in human society,S0903,0,number,Number of people,
2017,Apprentices,Studies in human society,S0903,0,number,Number of people,
2018,Apprentices,Studies in human society,S0903,0,number,Number of people,
2019,Apprentices,Studies in human society,S0903,0,number,Number of people,
2020,Apprentices,Studies in human society,S0903,5,number,Number of people,
2021,Apprentices,Studies in human society,S0903,5,number,Number of people,
2022,Apprentices,Studies in human society,S0903,5,number,Number of people,
2023,Apprentices,Studies in human society,S0903,5,number,Number of people,
2024,Apprentices,Studies in human society,S0903,0,number,Number of people,
2015,Apprentices,Teacher education,S0701,75,number,Number of people,
2016,Apprentices,Teacher education,S0701,85,number,Number of people,
2017,Apprentices,Teacher education,S0701,85,number,Number of people,
2018,Apprentices,Teacher education,S0701,70,number,Number of people,
2019,Apprentices,Teacher education,S0701,25,number,Number of people,
2020,Apprentices,Teacher education,S0701,15,number,Number of people,
2021,Apprentices,Teacher education,S0701,15,number,Number of people,
2022,Apprentices,Teacher education,S0701,5,number,Number of people,
2023,Apprentices,Teacher education,S0701,0,number,Number of people,
2024,Apprentices,Teacher education,S0701,0,number,Number of people,
2015,Apprentices,Tourism,S0807,15,number,Number of people,
2016,Apprentices,Tourism,S0807,5,number,Number of people,
2017,Apprentices,Tourism,S0807,5,number,Number of people,
2018,Apprentices,Tourism,S0807,5,number,Number of people,
2019,Apprentices,Tourism,S0807,0,number,Number of people,
2020,Apprentices,Tourism,S0807,0,number,Number of people,
2021,Apprentices,Tourism,S0807,0,number,Number of people,
2022,Apprentices,Tourism,S0807,0,number,Number of people,
2023,Apprentices,Tourism,S0807,0,number,Number of people,
2024,Apprentices,Tourism,S0807,0,number,Number of people,
2015,Apprentices,Visual arts and crafts,S1003,25,number,Number of people,
2016,Apprentices,Visual arts and crafts,S1003,20,number,Number of people,
2017,Apprentices,Visual arts and crafts,S1003,15,number,Number of people,
2018,Apprentices,Visual arts and crafts,S1003,20,number,Number of people,
2019,Apprentices,Visual arts and crafts,S1003,10,number,Number of people,
2020,Apprentices,Visual arts and crafts,S1003,5,number,Number of people,
2021,Apprentices,Visual arts and crafts,S1003,0,number,Number of people,
2022,Apprentices,Visual arts and crafts,S1003,0,number,Number of people,
2023,Apprentices,Visual arts and crafts,S1003,0,number,Number of people,
2024,Apprentices,Visual arts and crafts,S1003,0,number,Number of people,
