Year ended September,Fishing licence type,Value,Value Unit,Value Label,Null Reason
1981,Total Adult-equivalent licences,76526,number,Number of adult-equivalent licences issued,
1982,Total Adult-equivalent licences,77395,number,Number of adult-equivalent licences issued,
1983,Total Adult-equivalent licences,75195,number,Number of adult-equivalent licences issued,
1984,Total Adult-equivalent licences,78113,number,Number of adult-equivalent licences issued,
1985,Total Adult-equivalent licences,78143,number,Number of adult-equivalent licences issued,
1986,Total Adult-equivalent licences,80386,number,Number of adult-equivalent licences issued,
1987,Total Adult-equivalent licences,74765,number,Number of adult-equivalent licences issued,
1988,Total Adult-equivalent licences,73948,number,Number of adult-equivalent licences issued,
1989,Total Adult-equivalent licences,69486,number,Number of adult-equivalent licences issued,
1990,Total Adult-equivalent licences,65217,number,Number of adult-equivalent licences issued,
1991,Total Adult-equivalent licences,63043,number,Number of adult-equivalent licences issued,
1992,Total Adult-equivalent licences,60193,number,Number of adult-equivalent licences issued,
1993,Total Adult-equivalent licences,60456,number,Number of adult-equivalent licences issued,
1994,Total Adult-equivalent licences,65064,number,Number of adult-equivalent licences issued,
1995,Total Adult-equivalent licences,70910,number,Number of adult-equivalent licences issued,
1996,Total Adult-equivalent licences,71583,number,Number of adult-equivalent licences issued,
1997,Total Adult-equivalent licences,74204,number,Number of adult-equivalent licences issued,
1998,Total Adult-equivalent licences,73073,number,Number of adult-equivalent licences issued,
1999,Total Adult-equivalent licences,72104,number,Number of adult-equivalent licences issued,
2000,Total Adult-equivalent licences,71738,number,Number of adult-equivalent licences issued,
2001,Total Adult-equivalent licences,71603,number,Number of adult-equivalent licences issued,
2002,Total Adult-equivalent licences,67935,number,Number of adult-equivalent licences issued,
2003,Total Adult-equivalent licences,67718,number,Number of adult-equivalent licences issued,
2004,Total Adult-equivalent licences,69596,number,Number of adult-equivalent licences issued,
2005,Total Adult-equivalent licences,69607,number,Number of adult-equivalent licences issued,
2006,Total Adult-equivalent licences,72092,number,Number of adult-equivalent licences issued,
2007,Total Adult-equivalent licences,74626,number,Number of adult-equivalent licences issued,
2008,Total Adult-equivalent licences,75982,number,Number of adult-equivalent licences issued,
2009,Total Adult-equivalent licences,75404,number,Number of adult-equivalent licences issued,
2010,Total Adult-equivalent licences,76192,number,Number of adult-equivalent licences issued,
2011,Total Adult-equivalent licences,72701,number,Number of adult-equivalent licences issued,
2012,Total Adult-equivalent licences,74791,number,Number of adult-equivalent licences issued,
2013,Total Adult-equivalent licences,77386,number,Number of adult-equivalent licences issued,
2014,Total Adult-equivalent licences,78440,number,Number of adult-equivalent licences issued,
1981,Adult Whole Season,57664,number,Number of licences issued,
1982,Adult Whole Season,60403,number,Number of licences issued,
1983,Adult Whole Season,60050,number,Number of licences issued,
1984,Adult Whole Season,62783,number,Number of licences issued,
1985,Adult Whole Season,61426,number,Number of licences issued,
1986,Adult Whole Season,62525,number,Number of licences issued,
1987,Adult Whole Season,59944,number,Number of licences issued,
1988,Adult Whole Season,59505,number,Number of licences issued,
1989,Adult Whole Season,56082,number,Number of licences issued,
1990,Adult Whole Season,52976,number,Number of licences issued,
1991,Adult Whole Season,48183,number,Number of licences issued,
1992,Adult Whole Season,46199,number,Number of licences issued,
1993,Adult Whole Season,45695,number,Number of licences issued,
1994,Adult Whole Season,49208,number,Number of licences issued,
1995,Adult Whole Season,53041,number,Number of licences issued,
1996,Adult Whole Season,54555,number,Number of licences issued,
1997,Adult Whole Season,57153,number,Number of licences issued,
1998,Adult Whole Season,56796,number,Number of licences issued,
1999,Adult Whole Season,55996,number,Number of licences issued,
2000,Adult Whole Season,50194,number,Number of licences issued,
2001,Adult Whole Season,39741,number,Number of licences issued,
2002,Adult Whole Season,35902,number,Number of licences issued,
2003,Adult Whole Season,35082,number,Number of licences issued,
2004,Adult Whole Season,36311,number,Number of licences issued,
2005,Adult Whole Season,39932,number,Number of licences issued,
2006,Adult Whole Season,38802,number,Number of licences issued,
2007,Adult Whole Season,39461,number,Number of licences issued,
2008,Adult Whole Season,40291,number,Number of licences issued,
2009,Adult Whole Season,38632,number,Number of licences issued,
2010,Adult Whole Season,38532,number,Number of licences issued,
2011,Adult Whole Season,37114,number,Number of licences issued,
2012,Adult Whole Season,38789,number,Number of licences issued,
2013,Adult Whole Season,39489,number,Number of licences issued,
2014,Adult Whole Season,39377,number,Number of licences issued,
1981,Family Whole Season,1084,number,Number of licences issued,
1982,Family Whole Season,1559,number,Number of licences issued,
1983,Family Whole Season,1382,number,Number of licences issued,
1984,Family Whole Season,1301,number,Number of licences issued,
1985,Family Whole Season,1554,number,Number of licences issued,
1986,Family Whole Season,1738,number,Number of licences issued,
1987,Family Whole Season,992,number,Number of licences issued,
1988,Family Whole Season,943,number,Number of licences issued,
1989,Family Whole Season,720,number,Number of licences issued,
1990,Family Whole Season,692,number,Number of licences issued,
1991,Family Whole Season,818,number,Number of licences issued,
1992,Family Whole Season,746,number,Number of licences issued,
1993,Family Whole Season,741,number,Number of licences issued,
1994,Family Whole Season,584,number,Number of licences issued,
1995,Family Whole Season,759,number,Number of licences issued,
1996,Family Whole Season,0,number,Number of licences issued,
1997,Family Whole Season,0,number,Number of licences issued,
1998,Family Whole Season,0,number,Number of licences issued,
1999,Family Whole Season,0,number,Number of licences issued,
2000,Family Whole Season,4028,number,Number of licences issued,
2001,Family Whole Season,12158,number,Number of licences issued,
2002,Family Whole Season,13082,number,Number of licences issued,
2003,Family Whole Season,13447,number,Number of licences issued,
2004,Family Whole Season,14849,number,Number of licences issued,
2005,Family Whole Season,14939,number,Number of licences issued,
2006,Family Whole Season,17579,number,Number of licences issued,
2007,Family Whole Season,18888,number,Number of licences issued,
2008,Family Whole Season,20140,number,Number of licences issued,
2009,Family Whole Season,21042,number,Number of licences issued,
2010,Family Whole Season,21886,number,Number of licences issued,
2011,Family Whole Season,20510,number,Number of licences issued,
2012,Family Whole Season,20292,number,Number of licences issued,
2013,Family Whole Season,21861,number,Number of licences issued,
2014,Family Whole Season,22617,number,Number of licences issued,
1981,Young Adult Whole Season,,number,Number of licences issued,not available
1982,Young Adult Whole Season,,number,Number of licences issued,not available
1983,Young Adult Whole Season,,number,Number of licences issued,not available
1984,Young Adult Whole Season,,number,Number of licences issued,not available
1985,Young Adult Whole Season,,number,Number of licences issued,not available
1986,Young Adult Whole Season,,number,Number of licences issued,not available
1987,Young Adult Whole Season,,number,Number of licences issued,not available
1988,Young Adult Whole Season,,number,Number of licences issued,not available
1989,Young Adult Whole Season,,number,Number of licences issued,not available
1990,Young Adult Whole Season,,number,Number of licences issued,not available
1991,Young Adult Whole Season,,number,Number of licences issued,not available
1992,Young Adult Whole Season,,number,Number of licences issued,not available
1993,Young Adult Whole Season,0,number,Number of licences issued,
1994,Young Adult Whole Season,1840,number,Number of licences issued,
1995,Young Adult Whole Season,2051,number,Number of licences issued,
1996,Young Adult Whole Season,1949,number,Number of licences issued,
1997,Young Adult Whole Season,2423,number,Number of licences issued,
1998,Young Adult Whole Season,2705,number,Number of licences issued,
1999,Young Adult Whole Season,2535,number,Number of licences issued,
2000,Young Adult Whole Season,2222,number,Number of licences issued,
2001,Young Adult Whole Season,1754,number,Number of licences issued,
2002,Young Adult Whole Season,1696,number,Number of licences issued,
2003,Young Adult Whole Season,1512,number,Number of licences issued,
2004,Young Adult Whole Season,1567,number,Number of licences issued,
2005,Young Adult Whole Season,9,number,Number of licences issued,
2006,Young Adult Whole Season,,number,Number of licences issued,not available
2007,Young Adult Whole Season,,number,Number of licences issued,not available
2008,Young Adult Whole Season,,number,Number of licences issued,not available
2009,Young Adult Whole Season,,number,Number of licences issued,not available
2010,Young Adult Whole Season,,number,Number of licences issued,not available
2011,Young Adult Whole Season,,number,Number of licences issued,not available
2012,Young Adult Whole Season,,number,Number of licences issued,not available
2013,Young Adult Whole Season,,number,Number of licences issued,not available
2014,Young Adult Whole Season,,number,Number of licences issued,not available
1981,Junior Whole Season,29025,number,Number of licences issued,
1982,Junior Whole Season,28079,number,Number of licences issued,
1983,Junior Whole Season,25487,number,Number of licences issued,
1984,Junior Whole Season,23397,number,Number of licences issued,
1985,Junior Whole Season,21900,number,Number of licences issued,
1986,Junior Whole Season,22308,number,Number of licences issued,
1987,Junior Whole Season,18780,number,Number of licences issued,
1988,Junior Whole Season,17208,number,Number of licences issued,
1989,Junior Whole Season,14108,number,Number of licences issued,
1990,Junior Whole Season,12131,number,Number of licences issued,
1991,Junior Whole Season,11854,number,Number of licences issued,
1992,Junior Whole Season,11530,number,Number of licences issued,
1993,Junior Whole Season,10946,number,Number of licences issued,
1994,Junior Whole Season,10300,number,Number of licences issued,
1995,Junior Whole Season,11001,number,Number of licences issued,
1996,Junior Whole Season,10583,number,Number of licences issued,
1997,Junior Whole Season,10565,number,Number of licences issued,
1998,Junior Whole Season,8179,number,Number of licences issued,
1999,Junior Whole Season,7622,number,Number of licences issued,
2000,Junior Whole Season,7506,number,Number of licences issued,
2001,Junior Whole Season,5395,number,Number of licences issued,
2002,Junior Whole Season,4440,number,Number of licences issued,
2003,Junior Whole Season,4194,number,Number of licences issued,
2004,Junior Whole Season,3813,number,Number of licences issued,
2005,Junior Whole Season,6325,number,Number of licences issued,
2006,Junior Whole Season,6039,number,Number of licences issued,
2007,Junior Whole Season,4674,number,Number of licences issued,
2008,Junior Whole Season,4464,number,Number of licences issued,
2009,Junior Whole Season,4106,number,Number of licences issued,
2010,Junior Whole Season,3734,number,Number of licences issued,
2011,Junior Whole Season,3888,number,Number of licences issued,
2012,Junior Whole Season,4205,number,Number of licences issued,
2013,Junior Whole Season,4069,number,Number of licences issued,
2014,Junior Whole Season,3892,number,Number of licences issued,
1981,Adult 24 Hour,20066,number,Number of licences issued,
1982,Adult 24 Hour,27225,number,Number of licences issued,
1983,Adult 24 Hour,23579,number,Number of licences issued,
1984,Adult 24 Hour,26266,number,Number of licences issued,
1985,Adult 24 Hour,29837,number,Number of licences issued,
1986,Adult 24 Hour,31534,number,Number of licences issued,
1987,Adult 24 Hour,28761,number,Number of licences issued,
1988,Adult 24 Hour,27850,number,Number of licences issued,
1989,Adult 24 Hour,28352,number,Number of licences issued,
1990,Adult 24 Hour,26788,number,Number of licences issued,
1991,Adult 24 Hour,35867,number,Number of licences issued,
1992,Adult 24 Hour,31435,number,Number of licences issued,
1993,Adult 24 Hour,28586,number,Number of licences issued,
1994,Adult 24 Hour,27623,number,Number of licences issued,
1995,Adult 24 Hour,31095,number,Number of licences issued,
1996,Adult 24 Hour,28705,number,Number of licences issued,
1997,Adult 24 Hour,28535,number,Number of licences issued,
1998,Adult 24 Hour,25806,number,Number of licences issued,
1999,Adult 24 Hour,23408,number,Number of licences issued,
2000,Adult 24 Hour,23142,number,Number of licences issued,
2001,Adult 24 Hour,24413,number,Number of licences issued,
2002,Adult 24 Hour,21322,number,Number of licences issued,
2003,Adult 24 Hour,23451,number,Number of licences issued,
2004,Adult 24 Hour,20888,number,Number of licences issued,
2005,Adult 24 Hour,32682,number,Number of licences issued,
2006,Adult 24 Hour,33354,number,Number of licences issued,
2007,Adult 24 Hour,33640,number,Number of licences issued,
2008,Adult 24 Hour,31989,number,Number of licences issued,
2009,Adult 24 Hour,29684,number,Number of licences issued,
2010,Adult 24 Hour,28760,number,Number of licences issued,
2011,Adult 24 Hour,28263,number,Number of licences issued,
2012,Adult 24 Hour,30906,number,Number of licences issued,
2013,Adult 24 Hour,33260,number,Number of licences issued,
2014,Adult 24 Hour,33263,number,Number of licences issued,
1981,Junior 24 Hour,3393,number,Number of licences issued,
1982,Junior 24 Hour,3421,number,Number of licences issued,
1983,Junior 24 Hour,3682,number,Number of licences issued,
1984,Junior 24 Hour,3710,number,Number of licences issued,
1985,Junior 24 Hour,3699,number,Number of licences issued,
1986,Junior 24 Hour,4656,number,Number of licences issued,
1987,Junior 24 Hour,3929,number,Number of licences issued,
1988,Junior 24 Hour,4319,number,Number of licences issued,
1989,Junior 24 Hour,3768,number,Number of licences issued,
1990,Junior 24 Hour,4111,number,Number of licences issued,
1991,Junior 24 Hour,4744,number,Number of licences issued,
1992,Junior 24 Hour,4363,number,Number of licences issued,
1993,Junior 24 Hour,4594,number,Number of licences issued,
1994,Junior 24 Hour,4159,number,Number of licences issued,
1995,Junior 24 Hour,5518,number,Number of licences issued,
1996,Junior 24 Hour,3320,number,Number of licences issued,
1997,Junior 24 Hour,2972,number,Number of licences issued,
1998,Junior 24 Hour,1360,number,Number of licences issued,
1999,Junior 24 Hour,1460,number,Number of licences issued,
2000,Junior 24 Hour,2500,number,Number of licences issued,
2001,Junior 24 Hour,2602,number,Number of licences issued,
2002,Junior 24 Hour,1494,number,Number of licences issued,
2003,Junior 24 Hour,1472,number,Number of licences issued,
2004,Junior 24 Hour,1401,number,Number of licences issued,
2005,Junior 24 Hour,4186,number,Number of licences issued,
2006,Junior 24 Hour,4329,number,Number of licences issued,
2007,Junior 24 Hour,2930,number,Number of licences issued,
2008,Junior 24 Hour,2700,number,Number of licences issued,
2009,Junior 24 Hour,2716,number,Number of licences issued,
2010,Junior 24 Hour,2795,number,Number of licences issued,
2011,Junior 24 Hour,2066,number,Number of licences issued,
2012,Junior 24 Hour,2204,number,Number of licences issued,
2013,Junior 24 Hour,2368,number,Number of licences issued,
2014,Junior 24 Hour,2202,number,Number of licences issued,
