Year,Measure,Category,Disability status,Age group,Unit,Value,Value Unit,Value Label,Null Reason,Metadata 1
2023,Number of different leisure activities done in last 4 weeks (of the 7 specified leisure activities only),5–7,Non-disabled,5-*,Absolute sampling error (number),48,number,Thousands of people,
2023,People who experienced barriers that made it difficult to do all the leisure activities they would like to do,Total,Disabled,5-*,Percent,61,percentage,% of disabled people aged 5+,
2023,People who experienced barriers that made it difficult to do all the leisure activities they would like to do,Total,Disabled,5-*,Absolute sampling error (percentage),2.4,percentage,% of disabled people aged 5+,
2023,People who experienced barriers that made it difficult to do all the leisure activities they would like to do,Total,Disabled,5-*,Number,502,number,Thousands of people,
2023,People who experienced barriers that made it difficult to do all the leisure activities they would like to do,Total,Disabled,5-*,Absolute sampling error (number),26,number,Thousands of people,
2023,People who experienced barriers that made it difficult to do all the leisure activities they would like to do,Total,Non-disabled,5-*,Percent,,percentage,% of disabled people aged 5+,not applicable
2023,People who experienced barriers that made it difficult to do all the leisure activities they would like to do,Total,Non-disabled,5-*,Absolute sampling error (percentage),,percentage,% of disabled people aged 5+,not applicable
2023,People who experienced barriers that made it difficult to do all the leisure activities they would like to do,Total,Non-disabled,5-*,Number,,number,Thousands of people,not applicable
2023,People who experienced barriers that made it difficult to do all the leisure activities they would like to do,Total,Non-disabled,5-*,Absolute sampling error (number),,number,Thousands of people,not applicable
2023,Barriers to participation in leisure activities,"Their disability, condition, or health problem",Disabled,5-*,Percent,70,percentage,% of disabled people aged 5+ who experienced barriers,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,"Their disability, condition, or health problem",Disabled,5-*,Absolute sampling error (percentage),2.8,percentage,% of disabled people aged 5+ who experienced barriers,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,"Their disability, condition, or health problem",Disabled,5-*,Number,351,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,"Their disability, condition, or health problem",Disabled,5-*,Absolute sampling error (number),22,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,"Their disability, condition, or health problem",Non-disabled,5-*,Percent,,percentage,% of disabled people aged 5+ who experienced barriers,not applicable,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,"Their disability, condition, or health problem",Non-disabled,5-*,Absolute sampling error (percentage),,percentage,% of disabled people aged 5+ who experienced barriers,not applicable,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,"Their disability, condition, or health problem",Non-disabled,5-*,Number,,number,Thousands of people,not applicable,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,"Their disability, condition, or health problem",Non-disabled,5-*,Absolute sampling error (number),,number,Thousands of people,not applicable,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Lack of support people to help with needs,Disabled,5-*,Percent,8,percentage,% of disabled people aged 5+ who experienced barriers,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Lack of support people to help with needs,Disabled,5-*,Absolute sampling error (percentage),1.5,percentage,% of disabled people aged 5+ who experienced barriers,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Lack of support people to help with needs,Disabled,5-*,Number,38,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Lack of support people to help with needs,Disabled,5-*,Absolute sampling error (number),8,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Lack of support people to help with needs,Non-disabled,5-*,Percent,,percentage,% of disabled people aged 5+ who experienced barriers,not applicable,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Lack of support people to help with needs,Non-disabled,5-*,Absolute sampling error (percentage),,percentage,% of disabled people aged 5+ who experienced barriers,not applicable,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Lack of support people to help with needs,Non-disabled,5-*,Number,,number,Thousands of people,not applicable,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Lack of support people to help with needs,Non-disabled,5-*,Absolute sampling error (number),,number,Thousands of people,not applicable,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Venues or facilities not accessible,Disabled,5-*,Percent,4,percentage,% of disabled people aged 5+ who experienced barriers,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Venues or facilities not accessible,Disabled,5-*,Absolute sampling error (percentage),1,percentage,% of disabled people aged 5+ who experienced barriers,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Venues or facilities not accessible,Disabled,5-*,Number,18,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Venues or facilities not accessible,Disabled,5-*,Absolute sampling error (number),5,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Venues or facilities not accessible,Non-disabled,5-*,Percent,,percentage,% of disabled people aged 5+ who experienced barriers,not applicable,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Venues or facilities not accessible,Non-disabled,5-*,Absolute sampling error (percentage),,percentage,% of disabled people aged 5+ who experienced barriers,not applicable,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Venues or facilities not accessible,Non-disabled,5-*,Number,,number,Thousands of people,not applicable,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Venues or facilities not accessible,Non-disabled,5-*,Absolute sampling error (number),,number,Thousands of people,not applicable,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,"Negative attitudes towards people with disabilities, conditions, or health problems",Disabled,5-*,Percent,3,percentage,% of disabled people aged 5+ who experienced barriers,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,"Negative attitudes towards people with disabilities, conditions, or health problems",Disabled,5-*,Absolute sampling error (percentage),0.8,percentage,% of disabled people aged 5+ who experienced barriers,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,"Negative attitudes towards people with disabilities, conditions, or health problems",Disabled,5-*,Number,17,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,"Negative attitudes towards people with disabilities, conditions, or health problems",Disabled,5-*,Absolute sampling error (number),4,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,"Negative attitudes towards people with disabilities, conditions, or health problems",Non-disabled,5-*,Percent,,percentage,% of disabled people aged 5+ who experienced barriers,not applicable,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,"Negative attitudes towards people with disabilities, conditions, or health problems",Non-disabled,5-*,Absolute sampling error (percentage),,percentage,% of disabled people aged 5+ who experienced barriers,not applicable,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,"Negative attitudes towards people with disabilities, conditions, or health problems",Non-disabled,5-*,Number,,number,Thousands of people,not applicable,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,"Negative attitudes towards people with disabilities, conditions, or health problems",Non-disabled,5-*,Absolute sampling error (number),,number,Thousands of people,not applicable,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,"Anxiety (eg, worried about skill level, not at ease in social situations)",Disabled,5-*,Percent,21,percentage,% of disabled people aged 5+ who experienced barriers,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,"Anxiety (eg, worried about skill level, not at ease in social situations)",Disabled,5-*,Absolute sampling error (percentage),1.9,percentage,% of disabled people aged 5+ who experienced barriers,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,"Anxiety (eg, worried about skill level, not at ease in social situations)",Disabled,5-*,Number,106,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,"Anxiety (eg, worried about skill level, not at ease in social situations)",Disabled,5-*,Absolute sampling error (number),10,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,"Anxiety (eg, worried about skill level, not at ease in social situations)",Non-disabled,5-*,Percent,,percentage,% of disabled people aged 5+ who experienced barriers,not applicable,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,"Anxiety (eg, worried about skill level, not at ease in social situations)",Non-disabled,5-*,Absolute sampling error (percentage),,percentage,% of disabled people aged 5+ who experienced barriers,not applicable,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,"Anxiety (eg, worried about skill level, not at ease in social situations)",Non-disabled,5-*,Number,,number,Thousands of people,not applicable,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,"Anxiety (eg, worried about skill level, not at ease in social situations)",Non-disabled,5-*,Absolute sampling error (number),,number,Thousands of people,not applicable,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Lack of opportunities nearby,Disabled,5-*,Percent,6,percentage,% of disabled people aged 5+ who experienced barriers,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Lack of opportunities nearby,Disabled,5-*,Absolute sampling error (percentage),1.1,percentage,% of disabled people aged 5+ who experienced barriers,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Lack of opportunities nearby,Disabled,5-*,Number,29,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Lack of opportunities nearby,Disabled,5-*,Absolute sampling error (number),6,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Lack of opportunities nearby,Non-disabled,5-*,Percent,,percentage,% of disabled people aged 5+ who experienced barriers,not applicable,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Lack of opportunities nearby,Non-disabled,5-*,Absolute sampling error (percentage),,percentage,% of disabled people aged 5+ who experienced barriers,not applicable,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Lack of opportunities nearby,Non-disabled,5-*,Number,,number,Thousands of people,not applicable,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Lack of opportunities nearby,Non-disabled,5-*,Absolute sampling error (number),,number,Thousands of people,not applicable,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Cost,Disabled,5-*,Percent,23,percentage,% of disabled people aged 5+ who experienced barriers,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Cost,Disabled,5-*,Absolute sampling error (percentage),2.1,percentage,% of disabled people aged 5+ who experienced barriers,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Cost,Disabled,5-*,Number,117,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Cost,Disabled,5-*,Absolute sampling error (number),12,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Cost,Non-disabled,5-*,Percent,,percentage,% of disabled people aged 5+ who experienced barriers,not applicable,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Cost,Non-disabled,5-*,Absolute sampling error (percentage),,percentage,% of disabled people aged 5+ who experienced barriers,not applicable,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Cost,Non-disabled,5-*,Number,,number,Thousands of people,not applicable,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Cost,Non-disabled,5-*,Absolute sampling error (number),,number,Thousands of people,not applicable,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Problems with transport,Disabled,5-*,Percent,8,percentage,% of disabled people aged 5+ who experienced barriers,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Problems with transport,Disabled,5-*,Absolute sampling error (percentage),1.3,percentage,% of disabled people aged 5+ who experienced barriers,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Problems with transport,Disabled,5-*,Number,41,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Problems with transport,Disabled,5-*,Absolute sampling error (number),6,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Problems with transport,Non-disabled,5-*,Percent,,percentage,% of disabled people aged 5+ who experienced barriers,not applicable,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Problems with transport,Non-disabled,5-*,Absolute sampling error (percentage),,percentage,% of disabled people aged 5+ who experienced barriers,not applicable,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Problems with transport,Non-disabled,5-*,Number,,number,Thousands of people,not applicable,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Problems with transport,Non-disabled,5-*,Absolute sampling error (number),,number,Thousands of people,not applicable,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,"Lack of time, too busy with other commitments",Disabled,5-*,Percent,14,percentage,% of disabled people aged 5+ who experienced barriers,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,"Lack of time, too busy with other commitments",Disabled,5-*,Absolute sampling error (percentage),2.3,percentage,% of disabled people aged 5+ who experienced barriers,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,"Lack of time, too busy with other commitments",Disabled,5-*,Number,68,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,"Lack of time, too busy with other commitments",Disabled,5-*,Absolute sampling error (number),12,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,"Lack of time, too busy with other commitments",Non-disabled,5-*,Percent,,percentage,% of disabled people aged 5+ who experienced barriers,not applicable,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,"Lack of time, too busy with other commitments",Non-disabled,5-*,Absolute sampling error (percentage),,percentage,% of disabled people aged 5+ who experienced barriers,not applicable,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,"Lack of time, too busy with other commitments",Non-disabled,5-*,Number,,number,Thousands of people,not applicable,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,"Lack of time, too busy with other commitments",Non-disabled,5-*,Absolute sampling error (number),,number,Thousands of people,not applicable,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Other,Disabled,5-*,Percent,9,percentage,% of disabled people aged 5+ who experienced barriers,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Other,Disabled,5-*,Absolute sampling error (percentage),1.8,percentage,% of disabled people aged 5+ who experienced barriers,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Other,Disabled,5-*,Number,44,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Other,Disabled,5-*,Absolute sampling error (number),10,number,Thousands of people,,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Other,Non-disabled,5-*,Percent,,percentage,% of disabled people aged 5+ who experienced barriers,not applicable,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Other,Non-disabled,5-*,Absolute sampling error (percentage),,percentage,% of disabled people aged 5+ who experienced barriers,not applicable,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Other,Non-disabled,5-*,Number,,number,Thousands of people,not applicable,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
2023,Barriers to participation in leisure activities,Other,Non-disabled,5-*,Absolute sampling error (number),,number,Thousands of people,not applicable,Sum of percentages will exceed 100 percent and sum of counts will exceed the overall total because people who belong in multiple categories are counted in each.
