X,Y,Name,Affiliated_Clubs,LOCATION,OBJECTID,created_user,created_date,last_edited_user,last_edited_date,GlobalID
1775361.87329102,5447393.37091064,Upper Hutt Brass Band Bandroom,,California Park,1,SA,2023/11/19 22:46:26+00,SA,2023/11/19 22:46:26+00,{CBC4B76B-5E63-4F65-B9ED-056BF3AF7656}
1774911.33587646,5446716.21490479,Upper Hutt Darts Association,,Awa Kairangi Park,2,SA,2023/11/19 22:46:26+00,SA,2023/11/19 22:46:26+00,{0A51A6EF-A515-4955-89CB-CAC80CCCA9C6}
1772676.67230225,5446215.78112793,Upper Hutt Croquet Club,,McLeod Park,3,SA,2023/11/19 22:46:26+00,SA,2023/11/19 22:46:26+00,{F2F61797-FDD8-4C95-B663-AFAEF9DF50F3}
1774212.35510254,5445125.12652588,Maidstone Pavilion,,Maidstone Park,4,SA,2023/11/19 22:46:26+00,SA,2023/11/19 22:46:26+00,{C8E9EB21-48E6-4F1B-9701-E3E580CD6645}
1774063.71887207,5445109.99389648,Upper Hutt Smallbore Rifle Club,,Maidstone Park,5,SA,2023/11/19 22:46:26+00,SA,2023/11/19 22:46:26+00,{5FB26A96-8E83-4F9F-A8DA-2575E55995BC}
1775645.7600708,5448289.11651611,Hutt Valley Canoe Club,,Hoggard Park,6,SA,2023/11/19 22:46:26+00,SA,2023/11/19 22:46:26+00,{5524190A-C7AC-4BA3-BA38-F4210560A467}
1775674.83032227,5448298.41687012,Akatarawa Scout Hall,,Hoggard Park,7,SA,2023/11/19 22:46:26+00,SA,2023/11/19 22:46:26+00,{D447BA7E-F86D-4BF4-8230-F22167F998FE}
1775258.50891113,5446402.23468018,Upper Hutt Rams Rugby Football Club,,Māoribank Park,8,SA,2023/11/19 22:46:26+00,SA,2023/11/19 22:46:26+00,{01480417-F48B-4ACC-B1E0-45CE3B4541D3}
1773628.15472412,5446216.72271729,Upper Hutt Bridge Club,,Pine Avenue Park,9,SA,2023/11/19 22:46:26+00,SA,2023/11/19 22:46:26+00,{A8D7283B-CB19-43D8-B50E-6F876FA36B71}
1772566.59832764,5446218.78887939,Whakatiki Bowling Club,,McLeod Park,10,SA,2023/11/19 22:46:26+00,SA,2023/11/19 22:46:26+00,{235980E3-D090-47FB-802E-926FC8C2AE6E}
1772510.12127686,5446181.16827393,Heretaunga Scout Hall,,McLeod Park,11,SA,2023/11/19 22:46:26+00,SA,2023/11/19 22:46:26+00,{7FD69C6C-7464-4224-A128-B1C25BF6D982}
1773810.81628418,5445692.0256958,Märklin Model Railway Club,,Savage Park,12,SA,2023/11/19 22:46:26+00,SA,2023/11/19 22:46:26+00,{37D4D496-1CD5-41BF-A1E8-56C35D3E7F08}
1768478.3928833,5442502.90447998,Silverstream Bowls and Petanque Club,,Kurth Crescent Reserve,13,SA,2023/11/19 22:46:26+00,SA,2023/11/19 22:46:26+00,{9AFB46E6-EFE3-4F7D-AEF0-91ED0AF3D843}
1772144.5848999,5446179.22369385,Totara Park Softball Club,,Whakatiki Park,14,SA,2023/11/19 22:46:26+00,SA,2023/11/19 22:46:26+00,{5FA4C4CF-8B32-430B-8BE6-3B62494D27C3}
1772603.14727783,5444735.83911133,Upper Hutt Art Society Studio 21 Clubroom,"Upper Hutt Art Society, Upper Hutt Walking & Tramping Club",Ward/Miro Green Area,15,SA,2023/11/19 22:46:26+00,SA,2023/11/19 22:46:26+00,{4FB0DE3E-B72A-463B-AA73-7BFF3639421D}
1772613.47711182,5444724.70507812,Heretaunga Players,,Ward/Miro Green Area,16,SA,2023/11/19 22:46:26+00,SA,2023/11/19 22:46:26+00,{96C22FD8-6208-4DC5-84C7-F62426EEA0CB}
1775723.32971191,5447585.86651611,Moonshine Rod and Custom Club,,Harcourt Park,17,SA,2023/11/19 22:46:26+00,SA,2023/11/19 22:46:26+00,{BC7AAFF8-E9BA-4F59-B26C-26D2BBF8112F}
1770512.40307617,5444985.02508545,Upper Hutt Dog Training Club,,Moehau Park,18,SA,2023/11/19 22:46:26+00,SA,2023/11/19 22:46:26+00,{AF9EBBC5-EFF2-4E42-A970-D92465F85898}
1770135.92327881,5444438.44311523,Trentham Memorial Park Sports Association Building,"Upper Hutt United Cricket Club, Trentham United Harriers & Walkers",Trentham Memorial Park,19,SA,2023/11/19 22:46:26+00,SA,2023/11/19 22:46:26+00,{60306F14-CA44-43EC-B261-6F51D3524F94}
1770103.70391846,5444493.14532471,Trentham Sports Centre,Junior Cricket Upper Hutt,Trentham Memorial Park,20,SA,2023/11/19 22:46:26+00,SA,2023/11/19 23:17:11+00,{2819D1F1-B53A-4D6F-BC98-4C3D3BD64EE2}
1769072.64569092,5441657.08087158,Pinehaven Tennis Club,,Pinehaven Reserve,21,SA,2023/11/19 22:46:26+00,SA,2023/11/19 22:46:26+00,{94C6BEEA-12DE-4683-AF04-3615EA877EE9}
1769044.23187256,5441722.73132324,Silverpine Scout Hall,,Pinehaven Reserve,22,SA,2023/11/19 22:46:26+00,SA,2023/11/19 22:46:26+00,{21A83399-3445-40D6-AEF5-F9F3506A93C8}
1776796.58868408,5447263.12030029,Timberlea Hall,,Timberlea Park,23,SA,2023/11/19 22:46:26+00,SA,2023/11/19 22:46:26+00,{857147CE-62AC-4C0C-B8C1-718FAA5F9084}
1770282.68188477,5444363.45330811,Upper Hutt Axemens Club,,Trentham Memorial Park,24,SA,2023/11/19 22:46:26+00,SA,2023/11/19 23:19:04+00,{D102CD23-0545-4B25-B227-5F12950F7F27}
1785081.24029541,5450170.06292725,Black Stump Building,,Pākuratahi Park,25,SA,2023/11/19 22:46:26+00,LCARTER,2023/11/22 21:14:26+00,{933FBDB0-92B1-42F0-8409-980E79F81820}
1773941.33392334,5444949.5546875,Maidstone Community Sports Hub,,Maidstone Park,26,SA,2023/11/19 22:46:26+00,SA,2023/11/19 22:46:26+00,{33E37390-1C44-4FA4-9476-AE0F817FDA31}
1772160.58447266,5446205.20452881,Upper Hutt Tigers Rugby League Club,,Whakatiki Park,27,SA,2023/11/19 22:46:26+00,SA,2023/11/19 22:46:26+00,{63B35BF3-47F1-4402-A7EC-CA59C65486EC}
1777173.61688232,5448167.46191406,Wellington Chevrolet Club,,Benge Hall Reserve,28,SA,2023/11/19 22:46:26+00,SA,2023/11/19 22:46:26+00,{39FC9FF6-4A5C-4531-8352-05C3EF88A658}
