RESERVE_NA,Alternative_Park_Name,Type,OBJECTID,created_user,created_date,last_edited_user,last_edited_date
Te Mārua Hill Reserve,Te Mārua Hill Reserve,Nature Reserve,1,,,,
Birchville Beech Reserve,Birchville Beech Reserve,Nature Reserve,2,,,,
Upper Plateau Scenic Reserve,Upper Plateau Scenic Reserve,Nature Reserve,3,,,,
Silverstream Amenity Reserve,Silverstream Amenity Reserve,Neighbourhood Park,4,,,,
Pioneer Reserve,Pioneer Reserve,Nature Reserve,5,,,,
Fendalton Reserve,Fendalton Reserve,Nature Reserve,6,,,,
Avian Park,Avian Park,Neighbourhood Park,7,,,,
Riverstone Bush Reserve,Riverstone Bush Reserve,Nature Reserve,8,,,,
Silverstream Spur Reserve,Silverstream Spur Reserve,Nature Reserve,9,,,,
Emerald Hill Reserve,Emerald Hill Reserve,Nature Reserve,10,,,,
Benge Hall Reserve,Benge Hall Reserve,Neighbourhood Park,11,,,,
Collins Creek Reserve,Collins Creek Reserve,Nature Reserve,13,,,,
Gentian Park,Gentian Park,Nature Reserve,14,,,,
Kurth Crescent Reserve,Kurth Crescent Reserve,Nature Reserve,15,,,,
Pinehill Reserve,Pinehill Reserve,Neighbourhood Park,16,,,,
Remutaka Hill Reserve,Remutaka Hill Reserve,Nature Reserve,18,,,,
Craigs Flat Reserve,Craigs Flat Reserve,Community Park,21,,,,
Southern Hills Ridgeline Reserve,Southern Hills Ridgeline Reserve,Nature Reserve,22,,,,
Karapoti Reserve,Karapoti Reserve,Community Park,24,,,,
Pinehaven Library Reserve,Pinehaven Library Reserve,Community Park,25,,,,
Speargrass Reserve,Speargrass Reserve,Neighbourhood Park,26,,,,
Edmund Lomas Park,Edmund Lomas Park,Neighbourhood Park,27,,,,
Rātā Park,Rātā Park,Neighbourhood Park,28,,,,
Speargrass Park,Speargrass Park,Community Park,31,,,,
Timberlea Park,Timberlea Park,Community Park,33,,,,
Norana Road Reserve,Norana Road Reserve,Nature Reserve,34,,,,
California Park,California Park,Community Park,35,,,,
Turon Park,Turon Park,Community Park,37,,,,
Denver Grove Reserve,Denver Grove Reserve,Community Park,38,,,,
Dunns Park,Dunns Park,Neighbourhood Park,39,,,,
Ward/Miro Green Area,Ward/Miro Green Area,Community Park,40,,,,
Tapestry Grove Reserve,Tapestry Grove Reserve,Neighbourhood Park,41,,,,
Willow Park,Willow Park,Neighbourhood Park,42,,,,
Duncraig Crescent Reserve,Duncraig Crescent Reserve,Neighbourhood Park,44,,,,
Pinehaven Reserve,Pinehaven Reserve,Community Park,45,,,,
Birchville Park,Birchville Park,Community Park,46,,,,
Clyma Park,Clyma Park,Community Park,47,,,,
Oxford Park,Oxford Park,Community Park,48,,,,
Savage Park,Savage Park,Community Park,49,,,,
McLeod Street Play Area,McLeod Street Play Area,Community Park,51,,,,
Silverstream Scenic Reserve,Silverstream Scenic Reserve,Nature Reserve,52,,,,
Keith George Memorial Park,Keith George Memorial Park,Nature Reserve,53,,,,
Tulsa Park,Tulsa Park,Neighbourhood Park,56,,,,
Hoggard Park,Hoggard Park,Community Park,57,,,,
Doris Nicholson Reserve,Doris Nicholson Reserve,Community Park,59,,,,
Awa Kairangi Park,Awa Kairangi Park,Community Park,60,,,,
Oaklands Reserve,Oaklands Reserve,Neighbourhood Park,61,,,,
Whakatiki Park,Whakatiki Park,Community Park,62,,,,
Moonshine Park,Moonshine Park,Neighbourhood Park,63,,,,
Pine Avenue Park,Pine Avenue Park,Neighbourhood Park,64,,,,
Kaitoke Hill Scenic Reserve,Kaitoke Hill Scenic Reserve,Nature Reserve,65,,,,
Harcourt Park,Harcourt Park,Destination Park,66,,,,
McLeod Park,McLeod Park,Community Park,67,,,,
Harcourt Park Soccer,Harcourt Park Soccer,Community Park,68,,,,
Blackbeech Esplanade Reserve,Blackbeech Esplanade Reserve,Nature Reserve,70,,,,
Sylvan Heights Reserve,Sylvan Heights Reserve,Nature Reserve,74,,,,
Wyndham Park,Wyndham Park,Nature Reserve,75,,,,
Whitemans Valley Reserve,Whitemans Valley Reserve,Community Park,76,,,,
Te Haukāretu Park,Te Haukāretu Park,Community Park,77,,,,
Civic Centre,Civic Centre,Civic Precinct,78,,,,
Tawai Park,Tawai Park,Community Park,79,,,,
Akatārawa Cemetery,Akatārawa Cemetery,Community Park,80,,,,
Heretaunga Park,Heretaunga Park,Community Park,81,,,,
Railway Green Space,Railway Green Space,Neighbourhood Park,84,,,,
Silverstream Park,Silverstream Park,Community Park,85,,,,
Upper Plateau Park,Upper Plateau Park,Community Park,87,,,,
Plateau Road Play Area,Plateau Road Play Area,Community Park,88,,,,
Riverbank Park,Riverbank Park,Neighbourhood Park,90,,,,
Mangaroa Reserve,Mangaroa Reserve,Nature Reserve,91,,,,
Grant's Bush,Grant's Bush,Nature Reserve,92,,,,
Birchville Picnic Area,Birchville Picnic Area,Community Park,93,,,,
Wallaceville Reserve,Wallaceville Reserve,Community Park,94,,,,
Wī Tako Ngātata Scenic Reserve,Wī Tako Ngātata Scenic Reserve,Nature Reserve,95,,,,
Trentham Scenic Reserve,Trentham Scenic Reserve,Nature Reserve,96,,,,
No 1 Line Reserve,No 1 Line Reserve,Nature Reserve,102,,,,
Plateau Reserve,Plateau Reserve,Nature Reserve,104,,,,
McLeod Park,McLeod Park,Community Park,109,,,,
Mt Marua Drive Reserve,Mt Marua Drive Reserve,Pocket Park,110,,,,
Ngāti Tama Park,Ngāti Tama Park,Neighbourhood Park,119,,,,
King Charles Reserve,King Charles Reserve,Pocket Park,120,,,,
Riverstone Reserve,Riverstone Reserve,Nature Reserve,125,,,,
Riverstone Reserve,Riverstone Reserve,Nature Reserve,126,,,,
Riverstone Reserve,Riverstone Reserve,Nature Reserve,127,,,,
Riverstone Reserve,Riverstone Reserve,Nature Reserve,128,,,,
Riverstone Reserve,Riverstone Reserve,Nature Reserve,129,,,,
Riverstone Reserve,Riverstone Reserve,Nature Reserve,130,,,,
Stan Young Park,Stan Young Park,Neighbourhood Park,139,,,,
Trentham Memorial Park,Trentham Memorial Park,Destination Park,142,,,,
Pākuratahi Park,Pākuratahi Park,Nature Reserve,144,,,,
Clouston Park,Clouston Park,Community Park,145,,,,
Pumpkin Cottage Park,Pumpkin Cottage Park,Neighbourhood Park,146,,,,
Moehau Park,Moehau Park,Community Park,147,,,,
Māoribank Park,Māoribank Park,Community Park,148,,,,
Benge Park,Benge Park,Community Park,149,,,,
Maidstone Bush,Maidstone Bush,Nature Reserve,151,,,,
Maidstone Max,Maidstone Max,Destination Park,153,,,,
Maidstone Park,Maidstone Park,Destination Park,154,,,,
Maidstone Bush,Maidstone Bush,Nature Reserve,156,,,,
CBD Greenspace,The Greenspace,Pocket Park,159,LHEYMANNS,2025/09/29 03:11:50+00,LHEYMANNS,2025/09/29 03:13:51+00
